GroupId	WebsiteName	PatternType	Missed	Junk	Outof	LeftPattern	RightPattern
1	flipkart	noValuePattern	0	0	4	">	</li><li class="_2-riNZ"
2	amazon	noValuePattern	0	0	4	 </span></li> <li><span class="a-list-item"> 	 </span></li> <li><span class="a-list-item">
3	snapdeal	noValuePattern	0	0	4	i"> <span class="list-cicrle-cont"><span class="list-circle"></span></span> <span class="h-content">	</span> </li> <li class="col-xs-8 dtls-li"
4	flipkart	noValuePattern	0	0	4	">	</li><li class="_2-riNZ"
5	amazon	noValuePattern	0	0	4	-top-small"> <ul class="a-unordered-list a-vertical a-spacing-none"> <li><span class="a-list-item"> 	 </span></li> <li><span class="a-list-item">
6	snapdeal	noValuePattern	0	0	4	i class="col-xs-8 reset-padding" title=""><span class="list-circle"></span> <span class="h-content">	</span> </li> <li class="col-xs-8 reset-padding" title=""><span class="list-circle"></span> <span cl
6	snapdeal	noValuePattern	0	0	4	i"> <span class="list-cicrle-cont"><span class="list-circle"></span></span> <span class="h-content">	</span> </li> <li class="col-xs-8 dtls-li"> <span class="list-cicrle-cont"><span class="list-circle"
7	flipkart	noValuePattern	0	0	4	">	</li></ul></div></div><div class="
8	amazon	noValuePattern	0	0	4	 </span></li> <li><span class="a-list-item"> 	 </span></li> </ul> <!-- Loading EDP related metadata --> <span class="edp-feature-declaration" data
9	snapdeal	noValuePattern	0	0	4	""> <span class="list-cicrle-cont"><span class="list-circle"></span></span> <span class="h-content">	</span> </li> </ul> </div> </div> <div class="spec-section expanded"> <div class="spec-title-wrp"> <
