GroupId	WebsiteName	PatternType	Missed	Junk	Outof	LeftPattern	RightPattern
1	flipkart	plainPattern	0	0	4	">	</div><svg width="16" height="27" viewBox="0 0 16 27" xmlns="http://www.w3.org/2000/svg" class="_2XP
2	snapdeal	plainPattern	0	0	4	tyle: outside none none; position: absolute; width: 553px; z-index: 0; display: none;"> <img title="	" slidenum="1" class="cloudzoom" bigsrc="https://n
2	snapdeal	plainPattern	0	0	4	tyle: outside none none; position: absolute; width: 553px; z-index: 0; display: none;"> <img title="	" slidenum="2" class="cloudzoom" bigsrc="https://n
2	snapdeal	plainPattern	0	0	4	" class="tileImg lazy-load" title="	" alt="
2	snapdeal	plainPattern	0	0	4	emap', 'k4': 'See All Categories'}, ]" type="hidden"> </ul> </div> </div></div> </div><input value="	" id="productNamePDP" type="hidden"> <input id="superCategoryLabel" name="superCategoryLabel" value=
2	snapdeal	plainPattern	0	0	4	nk itemprop="availability" href="http://schema.org/InStock"> <div itemprop="name" class="disp-none">	</div> <div id="buyPriceBox" class="elecPriceTile buyNowBlock row"> <div class="col-xs-21 reset-padd
2	snapdeal	plainPattern	0	0	4	em"> <meta property="og:description" content=""> <meta name="og_title" property="og:title" content="	"> <meta name="og_site_name" property="og:site_name" content="Snapdeal.com"> <meta name="og_image" p
2	snapdeal	plainPattern	0	0	4	none; position: absolute; width: 553px; z-index: 50; display: block;"> <img itemprop="image" title="	" slidenum="0" class="cloudzoom" bigsrc="https://n
2	snapdeal	plainPattern	0	0	4	/amp"> <meta name="description" content="Buy 	 Online 
2	snapdeal	plainPattern	0	0	4	"> </div> <div class="tile-desc"> <p class="product-title">	</p> <p class="product-offer-price"> Rs. 
2	snapdeal	plainPattern	0	0	4	" alt="	"> </div> <div class="tile-desc"> <p class="product-title">
2	snapdeal	plainPattern	0	0	4	" alt="	" src="page
2	snapdeal	plainPattern	0	0	4	; list-style: outside none none; position: relative; width: 73px; margin-bottom: 8px;"> <img title="	" alt="
2	snapdeal	plainPattern	0	0	4	" class="pdp-e-i-head"> 	</h1> </div> <div class="col-xs-2"> <div class="shortlist-icon-wrpr comp-animated-icon "> <span clas
2	snapdeal	plainPattern	0	0	4	", "productNamePDP": "	", "hardBundlingCss": "https://i1.sdlcdn.com/css/amex1507014675285/snap/components/bundling/hardBund
2	snapdeal	plainPattern	0	0	4	 Snapdeal "> <meta name="twitter:description" content="Buy 	 Online 
2	snapdeal	plainPattern	0	0	4	-elec-topcenter-inner layout"> <div class="row"> <div class="col-xs-22"> <h1 itemprop="name" title="	" class="pdp-e-i-head"> 
3	amazon	plainPattern	0	0	4	class="sims-fbt-checkbox-label"><span class="sims-fbt-this-item a-text-bold">This item:</span><span>	</span> <span class="a-color-price"><span class="p13n-sc-price"><span style="text-decoration: inheri
3	amazon	plainPattern	0	0	4	> <h1 id="title" class="a-size-large a-spacing-none"> <span id="productTitle" class="a-size-large"> 	 </span> <span id="titleEDPPlaceHolder"></span> </h1> <div id="expandTitleToggle" class="a-section a
3	amazon	plainPattern	0	0	4	 class="a-align-center sims-fbt-image-1"><span class="a-list-item"><div class="a-section"><img alt="	" src="page_files/
